game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,ot3_fg,ot3_3p,ot3_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-11-09_cal_st_fullerton_cleveland_st,Cleveland St.,1-6,0-4,6-8,9-13,2-4,4-7,6-13,0-1,8-10,5-13,3-7,3-4,,,,,,,,,,21-45,5-16,21-29,1,8,3,32,13,3,9,20
2025-11-09_cal_st_fullerton_cleveland_st,Cal St. Fullerton,7-17,0-5,4-7,8-14,2-3,1-2,3-11,0-3,9-14,1-12,0-4,7-14,,,,,,,,,,19-54,2-15,21-37,0,13,3,26,12,3,26,28
2025-11-11_csu_bakersfield_utah_st,Utah St.,8-13,2-5,2-2,2-11,1-6,8-8,6-11,2-4,0-0,5-13,2-4,9-12,,,,,,,,,,21-48,7-19,19-22,0,7,3,24,8,4,15,14
2025-11-11_csu_bakersfield_utah_st,CSU Bakersfield,7-18,1-2,0-0,7-14,3-7,1-2,4-12,0-3,5-7,6-16,1-4,6-8,,,,,,,,,,24-60,5-16,12-17,0,9,3,28,8,4,12,15
2025-11-12_weber_st_uc_davis,UC Davis,6-15,2-9,4-5,4-12,2-6,4-4,10-19,7-12,0-0,6-15,2-5,2-2,,,,,,,,,,26-61,13-32,10-11,0,8,2,26,16,1,17,13
2025-11-12_weber_st_uc_davis,Weber St.,7-16,2-6,0-0,5-19,1-7,1-2,5-17,2-8,2-2,4-16,1-7,1-2,,,,,,,,,,21-68,6-28,4-6,0,5,2,20,6,1,7,13
2025-11-12_idaho_st_uc_irvine,UC Irvine,3-12,1-5,2-2,6-12,1-3,2-2,2-10,2-4,2-2,6-10,3-5,2-2,,,,,,,,,,17-44,7-17,8-8,0,0,1,16,4,0,17,17
2025-11-12_idaho_st_uc_irvine,Idaho St.,8-23,3-8,0-0,8-18,1-1,1-2,7-16,1-5,1-2,3-10,1-2,1-2,,,,,,,,,,26-67,6-16,3-6,0,11,1,32,9,0,21,16
2025-11-12_uc_san_diego_sacramento_st,Sacramento St.,4-13,0-3,2-3,8-14,7-7,2-6,6-16,0-6,0-0,6-16,1-4,11-14,,,,,,,,,,24-59,8-20,15-23,0,14,1,32,11,2,23,16
2025-11-12_uc_san_diego_sacramento_st,UC San Diego,2-15,1-6,5-8,4-11,1-2,0-0,7-19,3-7,4-6,7-17,1-6,5-7,,,,,,,,,,20-62,6-21,14-21,1,6,1,14,11,2,12,12
2025-11-12_long_beach_st_california_baptist,California Baptist,8-20,4-12,2-5,6-17,3-8,4-4,11-19,5-10,1-1,4-15,2-8,4-4,,,,,,,,,,29-71,14-38,11-14,0,4,0,28,17,0,21,21
2025-11-12_long_beach_st_california_baptist,Long Beach St.,4-19,0-7,5-8,5-13,1-1,5-5,7-18,2-7,3-5,5-17,1-6,1-4,,,,,,,,,,21-67,4-21,14-22,0,14,0,28,3,0,5,10
2025-11-12_san_diego_st_csun,CSUN,7-16,3-5,2-3,5-16,2-9,0-0,3-9,2-4,6-8,10-18,2-7,3-4,,,,,,,,,,25-59,9-25,11-15,0,10,1,32,2,4,21,29
2025-11-12_san_diego_st_csun,San Diego St.,4-13,1-3,8-11,12-23,6-14,3-4,12-17,5-7,3-4,4-12,1-3,0-0,,,,,,,,,,32-65,13-27,14-19,0,13,1,32,6,4,27,22
2025-11-12_cal_st_fullerton_hope_intl,Hope Int'l,1-15,0-7,4-4,6-12,3-6,0-0,5-10,1-4,6-8,6-13,1-6,0-0,,,,,,,,,,18-50,5-23,10-12,0,4,0,20,0,0,10,20
2025-11-12_cal_st_fullerton_hope_intl,Cal St. Fullerton,10-15,2-4,3-5,5-18,1-4,4-4,7-15,2-4,3-6,5-15,1-3,11-12,,,,,,,,,,27-63,6-15,21-27,0,6,0,40,16,0,33,35
2025-11-13_hawaii_saint_martins,Saint Martin's,3-14,3-8,1-2,4-14,1-5,5-8,5-15,3-4,0-0,0-8,0-6,1-2,0-6,0-3,3-4,,,,,,,12-57,7-26,10-16,0,7,5,6,4,7,7,16
2025-11-13_hawaii_saint_martins,Hawaii,3-12,0-6,2-4,6-12,0-2,1-1,4-13,0-6,0-0,3-18,1-10,2-2,3-6,0-2,2-4,,,,,,,19-61,1-26,7-11,0,18,5,34,5,7,15,25
2025-11-14_boise_st_uc_davis,UC Davis,7-16,3-8,0-0,7-17,3-6,0-0,5-12,3-6,9-10,9-13,2-4,1-2,,,,,,,,,,28-58,11-24,10-12,0,6,3,24,8,9,20,15
2025-11-14_boise_st_uc_davis,Boise St.,7-11,3-5,1-2,9-17,3-5,2-2,11-21,3-4,4-6,5-10,2-4,9-9,,,,,,,,,,32-59,11-18,16-19,0,17,3,28,12,9,26,12
2025-11-14_uc_riverside_saint_marys_ca,Saint Mary's (CA),5-14,1-4,0-0,7-13,3-7,0-2,6-17,0-5,1-2,2-8,1-3,5-6,,,,,,,,,,20-52,5-19,6-10,0,11,4,26,4,7,15,18
2025-11-14_uc_riverside_saint_marys_ca,UC Riverside,5-15,0-5,1-2,6-12,1-6,0-2,2-9,0-4,4-6,4-13,1-7,0-0,,,,,,,,,,17-49,2-22,5-10,0,2,4,24,2,7,15,5
2025-11-15_uc_irvine_northern_ariz,Northern Ariz.,6-15,3-6,1-2,5-14,2-6,3-4,6-12,2-5,9-12,4-13,1-5,12-15,,,,,,,,,,21-54,8-22,25-33,0,9,1,18,6,0,10,27
2025-11-15_uc_irvine_northern_ariz,UC Irvine,7-16,1-4,6-6,7-22,4-11,0-0,9-20,2-6,9-10,5-15,3-6,9-10,,,,,,,,,,28-73,10-27,24-26,0,15,1,34,7,0,18,26
2025-11-15_uc_santa_barbara_grand_canyon,Grand Canyon,6-16,1-4,3-4,6-16,1-4,1-2,9-17,2-3,5-7,7-16,0-3,1-1,,,,,,,,,,28-65,4-14,10-14,0,13,7,46,11,10,18,32
2025-11-15_uc_santa_barbara_grand_canyon,UC Santa Barbara,5-12,1-3,2-2,9-17,5-7,0-0,7-14,3-7,0-1,6-11,4-6,3-4,,,,,,,,,,27-54,13-23,5-7,0,4,7,24,11,10,10,14
2025-11-15_seattle_u_cal_poly,Cal Poly,8-14,1-4,2-2,6-18,0-4,5-6,7-15,1-3,4-7,7-16,1-5,3-5,,,,,,,,,,28-63,3-16,14-20,0,12,4,44,3,9,15,10
2025-11-15_seattle_u_cal_poly,Seattle U,9-19,3-9,1-1,5-14,1-3,2-2,7-17,3-7,2-3,10-17,0-2,1-3,,,,,,,,,,31-67,7-21,6-9,0,13,4,46,10,9,19,51
2025-11-15_long_beach_st_sacramento_st,Sacramento St.,4-17,1-8,1-1,5-15,0-4,3-4,7-17,3-8,3-5,6-12,1-2,1-4,,,,,,,,,,22-61,5-22,8-14,0,21,2,30,2,9,16,15
2025-11-15_long_beach_st_sacramento_st,Long Beach St.,5-12,1-4,4-4,5-11,0-2,5-7,5-11,1-2,3-4,3-13,0-2,4-7,,,,,,,,,,18-47,2-10,16-22,0,7,2,24,0,9,19,2
2025-11-15_san_diego_st_csu_bakersfield,CSU Bakersfield,8-15,3-5,5-8,2-14,1-4,3-4,0-9,0-4,6-10,4-11,0-2,2-6,,,,,,,,,,14-49,4-15,16-28,0,8,6,16,5,8,3,17
2025-11-15_san_diego_st_csu_bakersfield,San Diego St.,8-18,1-8,6-6,7-16,4-10,7-11,6-14,1-6,2-4,4-13,2-6,5-6,,,,,,,,,,25-61,8-30,20-27,0,11,6,28,10,8,25,20
2025-11-16_san_francisco_uc_san_diego,UC San Diego,4-15,0-2,5-6,8-16,1-4,4-5,7-16,3-7,0-2,6-19,2-9,4-4,,,,,,,,,,25-66,6-22,13-17,1,2,0,34,15,0,24,27
2025-11-16_san_francisco_uc_san_diego,San Francisco,9-18,0-6,0-0,11-21,1-10,3-3,10-20,3-7,0-0,3-11,1-3,6-8,,,,,,,,,,33-70,5-26,9-11,0,15,0,52,15,0,14,23
2025-11-16_denver_cal_st_fullerton,Cal St. Fullerton,3-18,0-3,4-6,4-12,1-7,3-4,6-14,2-7,5-6,6-16,0-2,2-2,,,,,,,,,,19-60,3-19,14-18,0,6,2,30,13,2,16,15
2025-11-16_denver_cal_st_fullerton,Denver,4-11,2-5,4-5,6-16,3-8,5-8,7-15,2-8,0-0,3-9,0-1,4-7,,,,,,,,,,20-51,7-22,13-20,0,3,2,20,19,2,20,1
2025-11-17_eastern_wash_cal_poly,Cal Poly,3-12,1-5,4-6,3-15,2-6,4-4,4-9,1-3,12-14,7-16,2-5,7-9,,,,,,,,,,17-52,6-19,27-33,0,11,1,20,10,0,11,16
2025-11-17_eastern_wash_cal_poly,Eastern Wash.,3-9,0-2,7-10,5-14,2-7,5-7,9-15,3-5,6-11,4-12,2-6,11-13,,,,,,,,,,21-50,7-20,29-41,0,6,1,22,16,0,21,3
