game_id,period,time_remaining,team,player,play,away_score,home_score
2026-01-01_washington_michigan,4,00:27,Michigan,"MCGAUGHY,BRYNN","SUB IN by MCGAUGHY,BRYNN",,
2026-01-01_washington_michigan,4,00:27,Washington,"MATHURIN,MCKENZIE","SUB OUT by MATHURIN,MCKENZIE",,
2026-01-01_washington_michigan,4,00:27,Washington,"Q. DANIELS,BROOKE","SUB IN by Q. DANIELS,BROOKE",,
2026-01-01_washington_michigan,4,00:22,Washington,"OLSON,OLIVIA","FOUL by OLSON,OLIVIA",,
2026-01-01_washington_michigan,4,00:22,Michigan,"MCGAUGHY,BRYNN","SUB OUT by MCGAUGHY,BRYNN",,
2026-01-01_washington_michigan,4,00:22,Michigan,"COPPINGER,DEVIN","SUB IN by COPPINGER,DEVIN",,
2026-01-01_washington_michigan,4,00:22,Michigan,"STINES,HANNAH","GOOD FT by STINES,HANNAH",52,62
2026-01-01_washington_michigan,4,00:22,Michigan,"STINES,HANNAH","MISS FT by STINES,HANNAH",,
2026-01-01_washington_michigan,4,00:20,Washington,"OLSON,OLIVIA","REBOUND DEF by OLSON,OLIVIA",,
2026-01-01_washington_michigan,4,00:12,Washington,"OLSON,OLIVIA","MISS JUMPER by OLSON,OLIVIA",,
2026-01-01_washington_michigan,4,00:09,Michigan,"SELLERS,SAYVIA","REBOUND DEF by SELLERS,SAYVIA",,
2026-01-01_washington_michigan,4,00:09,Washington,"Q. DANIELS,BROOKE","FOUL by Q. DANIELS,BROOKE",,
2026-01-01_washington_michigan,4,00:09,Michigan,"SELLERS,SAYVIA","GOOD FT by SELLERS,SAYVIA",52,63
2026-01-01_washington_michigan,4,00:09,Michigan,"SELLERS,SAYVIA","GOOD FT by SELLERS,SAYVIA",52,64
2026-01-08_washington_michigan_st,1,09:44,Michigan St.,"SELLERS,SAYVIA","MISS 3PTR by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,09:40,Washington,"SOTELO,INES","REBOUND DEF by SOTELO,INES",,
2026-01-08_washington_michigan_st,1,09:23,Michigan St.,"GRABOVSKAIA,YULIA","FOUL by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,1,09:23,Michigan St.,"GRABOVSKAIA,YULIA","SUB OUT by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,1,09:23,Michigan St.,"MCGAUGHY,BRYNN","SUB IN by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,1,09:23,Washington,"BROWN,JALYN","MISS FT by BROWN,JALYN",,
2026-01-08_washington_michigan_st,1,09:23,Washington,TEAM,REBOUND DEADB by TEAM,,
2026-01-08_washington_michigan_st,1,09:23,Washington,"BROWN,JALYN","GOOD FT by BROWN,JALYN",1,0
2026-01-08_washington_michigan_st,1,09:06,Washington,"JONES,RASHUNDA","FOUL by JONES,RASHUNDA",,
2026-01-08_washington_michigan_st,1,09:02,Michigan St.,"SELLERS,SAYVIA","MISS 3PTR by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,08:58,Washington,"BLAIR,KENNEDY","REBOUND DEF by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,1,08:56,Washington,"BLAIR,KENNEDY","TURNOVER by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,1,08:35,Michigan St.,"MCGAUGHY,BRYNN","GOOD LAYUP by MCGAUGHY,BRYNN",1,2
2026-01-08_washington_michigan_st,1,08:22,Washington,"BROWN,JALYN","TURNOVER by BROWN,JALYN",,
2026-01-08_washington_michigan_st,1,08:03,Michigan St.,"MCGAUGHY,BRYNN","TURNOVER by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,1,07:45,Washington,"SOTELO,INES","GOOD LAYUP by SOTELO,INES",3,2
2026-01-08_washington_michigan_st,1,07:45,Washington,"BLAIR,KENNEDY","ASSIST by BLAIR,KENNEDY",,
