game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2022-01-29_csun_hawaii,CSUN,7-13,1-4,0-0,3-10,1-4,7-10,9-13,1-2,2-3,4-15,2-5,7-9,,,,23-51,5-15,16-22,0,10,6,26,15,4,23,21
2022-01-29_cal_poly_uc_irvine,UC Irvine,9-19,3-8,3-3,2-15,1-4,2-5,4-10,1-3,4-4,4-10,1-2,11-14,,,,19-54,6-17,20-26,0,5,0,20,11,0,12,32
2022-01-29_cal_poly_uc_irvine,Cal Poly,2-13,0-1,0-2,3-13,0-5,0-0,7-15,0-4,2-5,11-23,2-6,2-2,,,,23-64,2-16,4-9,0,11,0,40,13,0,11,6
2022-01-29_csu_bakersfield_uc_san_diego,UC San Diego,6-17,4-11,0-0,6-17,2-8,2-2,3-13,1-7,4-4,6-13,3-5,6-7,,,,21-60,10-31,12-13,0,12,8,22,4,14,13,8
2022-01-29_csu_bakersfield_uc_san_diego,CSU Bakersfield,9-14,1-4,4-4,3-11,3-7,0-0,4-13,1-6,1-4,6-17,1-6,4-5,,,,22-55,6-23,9-13,0,11,8,24,12,14,9,22
2022-01-29_cal_st_fullerton_uc_riverside,UC Riverside,5-18,2-6,1-2,7-16,0-3,2-4,2-15,0-2,2-2,5-19,1-4,9-13,,,,19-68,3-15,14-21,0,13,1,26,2,4,15,5
2022-01-29_cal_st_fullerton_uc_riverside,Cal St. Fullerton,4-12,1-5,3-4,7-13,1-3,0-0,5-13,0-0,6-6,3-6,1-2,7-16,,,,19-44,3-10,16-26,0,8,4,28,0,4,11,21
2022-02-01_uc_davis_uc_riverside,UC Riverside,8-16,3-6,0-0,2-15,1-6,0-0,8-17,4-6,3-6,6-11,2-5,0-0,,,,24-59,10-23,3-6,0,6,5,20,7,8,12,4
2022-02-01_uc_davis_uc_riverside,UC Davis,4-19,2-13,0-0,7-11,3-6,0-0,8-14,3-5,1-3,5-18,2-8,0-0,,,,24-62,10-32,1-3,0,3,5,22,4,8,3,12
2022-02-03_hawaii_uc_davis,UC Davis,6-14,3-8,2-4,5-16,2-6,2-2,3-10,1-4,3-4,1-13,1-5,6-12,,,,15-53,7-23,13-22,0,6,4,16,11,3,9,9
2022-02-03_hawaii_uc_davis,Hawaii,5-14,2-6,1-2,4-13,0-4,3-6,3-12,2-4,5-8,4-11,2-3,10-14,,,,16-50,6-17,19-30,0,0,4,16,11,3,12,16
2022-02-03_uc_irvine_uc_santa_barbara,UC Santa Barbara,4-13,1-2,3-4,1-12,0-4,2-2,3-11,0-1,5-5,1-14,0-4,2-5,,,,9-50,1-11,12-16,0,6,2,12,0,1,5,6
2022-02-03_uc_irvine_uc_santa_barbara,UC Irvine,4-15,1-3,0-0,8-14,3-4,3-4,5-15,0-3,4-5,5-10,0-1,3-4,,,,22-54,4-11,10-13,0,4,2,30,3,1,11,16
2022-02-03_uc_san_diego_csun,CSUN,3-12,1-4,0-3,5-13,0-2,0-0,8-13,3-6,0-0,5-14,1-5,6-6,,,,21-52,5-17,6-9,0,7,1,20,17,1,10,18
2022-02-03_uc_san_diego_csun,UC San Diego,1-12,1-7,0-0,1-11,1-7,2-2,7-13,3-7,2-2,8-19,2-7,0-1,,,,17-55,7-28,4-5,0,6,1,16,7,1,7,15
2022-02-03_cal_poly_cal_st_fullerton,Cal St. Fullerton,6-11,0-1,3-4,4-16,1-8,5-5,4-17,0-4,2-4,3-13,0-5,7-10,,,,17-57,1-18,17-23,0,11,6,26,1,6,11,2
2022-02-03_cal_poly_cal_st_fullerton,Cal Poly,6-17,2-6,2-3,7-18,0-5,0-0,6-11,2-3,1-4,3-15,0-5,10-14,,,,22-61,4-19,13-21,0,5,6,24,12,6,7,16
2022-02-03_csu_bakersfield_long_beach_st,Long Beach St.,6-13,1-3,2-4,4-7,2-5,1-4,10-16,3-6,6-6,4-11,0-2,11-15,,,,24-47,6-16,20-29,0,6,10,24,11,4,20,9
2022-02-03_csu_bakersfield_long_beach_st,CSU Bakersfield,4-10,1-3,4-8,5-15,1-4,4-5,5-9,2-3,0-0,8-18,3-10,4-4,,,,22-52,7-20,12-17,1,7,10,20,0,4,12,32
2022-02-05_hawaii_uc_riverside,UC Riverside,5-15,1-5,0-0,4-15,1-4,0-0,5-13,1-5,6-7,8-15,1-4,3-4,,,,22-58,4-18,9-11,0,7,1,28,3,1,8,27
2022-02-05_hawaii_uc_riverside,Hawaii,7-13,2-4,1-3,9-15,4-6,0-0,5-13,2-5,4-5,6-14,3-5,6-11,,,,27-55,11-20,11-19,1,10,1,24,11,1,7,29
2022-02-05_uc_irvine_csun,CSUN,5-13,2-5,2-2,5-11,2-2,8-8,5-10,1-3,1-2,1-13,0-3,4-7,,,,16-47,5-13,15-19,0,9,5,20,8,2,16,10
2022-02-05_uc_irvine_csun,UC Irvine,4-14,3-5,0-0,3-14,3-8,0-2,8-13,3-6,7-7,4-9,2-4,9-12,,,,19-50,11-23,16-21,0,7,5,12,20,2,27,8
2022-02-05_uc_san_diego_uc_santa_barbara,UC Santa Barbara,3-12,1-7,1-2,5-12,3-7,2-3,5-10,1-4,7-8,6-12,0-1,6-9,,,,19-46,5-19,16-22,0,7,2,22,8,2,15,16
2022-02-05_uc_san_diego_uc_santa_barbara,UC San Diego,7-18,2-5,1-1,2-10,2-8,0-0,4-16,2-9,1-2,3-11,0-4,7-9,,,,16-55,6-26,9-12,0,8,2,16,12,2,15,12
2022-02-05_cal_poly_long_beach_st,Long Beach St.,6-13,0-3,0-0,2-14,1-5,4-4,5-13,1-5,6-8,5-17,2-6,2-4,,,,18-57,4-19,12-16,0,9,10,30,11,10,15,7
2022-02-05_cal_poly_long_beach_st,Cal Poly,5-16,1-7,1-1,6-12,0-2,3-5,7-14,2-2,4-6,2-7,0-3,1-4,,,,20-49,3-14,9-16,0,13,10,30,4,10,4,1
2022-02-05_csu_bakersfield_cal_st_fullerton,Cal St. Fullerton,8-11,1-2,3-4,3-11,1-4,3-4,6-13,2-6,5-6,10-17,1-3,4-7,,,,27-52,5-15,15-21,0,2,14,34,9,21,14,19
2022-02-05_csu_bakersfield_cal_st_fullerton,CSU Bakersfield,7-13,2-6,3-4,5-15,2-7,4-5,4-13,0-3,8-9,6-9,2-4,11-14,,,,22-50,6-20,26-32,0,6,14,28,10,21,20,38
2022-02-08_cal_st_fullerton_long_beach_st,Long Beach St.,6-18,2-7,0-0,8-16,2-5,0-0,6-15,5-10,1-2,5-9,0-1,3-5,,,,25-58,9-23,4-7,0,7,1,26,6,1,16,18
2022-02-08_cal_st_fullerton_long_beach_st,Cal St. Fullerton,5-12,0-1,1-2,3-10,1-5,2-2,7-12,1-2,3-4,5-13,2-8,3-5,,,,20-47,4-16,9-13,0,7,0,26,8,0,17,4
2022-02-10_uc_davis_uc_san_diego,UC San Diego,1-13,0-6,0-0,7-16,4-6,1-1,4-19,2-7,0-0,3-12,1-6,4-4,,,,15-60,7-25,5-5,0,5,0,14,5,0,16,15
2022-02-10_uc_davis_uc_san_diego,UC Davis,5-18,2-9,0-0,4-16,2-8,5-6,4-11,1-6,0-0,4-14,1-5,6-6,,,,17-59,6-28,11-12,0,7,0,20,2,0,4,12
2022-02-10_cal_st_fullerton_hawaii,Hawaii,4-12,2-6,2-4,2-22,0-6,7-12,4-12,1-5,3-5,6-11,3-4,5-8,,,,16-57,6-21,17-29,0,8,1,18,5,3,16,5
2022-02-10_cal_st_fullerton_hawaii,Cal St. Fullerton,5-16,0-3,5-6,2-14,0-2,5-6,4-8,1-2,2-2,5-12,1-4,0-0,,,,16-50,2-11,12-14,0,4,2,18,6,3,4,12
2022-02-10_uc_riverside_uc_irvine,UC Irvine,5-18,0-6,5-6,5-17,1-4,2-2,4-15,0-4,1-5,8-17,1-5,6-6,,,,22-67,2-19,14-19,0,17,6,34,15,11,19,17
2022-02-10_uc_riverside_uc_irvine,UC Riverside,5-13,2-5,2-3,5-14,0-4,3-4,6-18,0-4,2-3,1-9,0-4,1-2,,,,17-54,2-17,8-12,0,4,6,18,0,11,12,23
2022-02-10_uc_santa_barbara_csu_bakersfield,CSU Bakersfield,5-12,2-5,0-0,3-14,0-4,1-2,4-14,1-6,2-5,3-13,0-3,11-12,,,,15-53,3-18,14-19,0,6,2,24,6,2,16,28
2022-02-10_uc_santa_barbara_csu_bakersfield,UC Santa Barbara,6-11,3-7,1-2,8-14,1-2,1-3,4-15,0-7,3-4,3-9,0-2,8-8,,,,21-49,4-18,13-17,0,5,2,28,2,2,11,26
2022-02-10_csun_cal_poly,Cal Poly,5-13,1-4,4-6,6-13,2-6,4-4,6-13,0-1,1-2,4-10,0-2,2-2,,,,21-49,3-13,11-14,0,7,3,22,11,4,13,25
2022-02-10_csun_cal_poly,CSUN,2-11,1-5,1-2,1-13,1-5,4-6,7-15,5-9,3-3,6-15,2-5,6-8,,,,16-54,9-24,14-19,0,16,3,12,8,4,13,6
2022-02-12_uc_davis_uc_irvine,UC Irvine,6-19,0-7,0-2,3-14,0-6,0-0,7-15,3-6,2-4,5-18,1-5,3-3,,,,21-66,4-24,5-9,0,5,1,26,16,0,15,13
2022-02-12_uc_davis_uc_irvine,UC Davis,6-7,4-5,6-8,3-12,0-5,7-9,6-14,2-3,4-8,6-12,1-5,0-0,,,,21-45,7-18,17-25,0,2,1,24,1,0,11,10
2022-02-12_long_beach_st_hawaii,Hawaii,6-12,3-7,1-2,6-16,2-6,0-1,7-14,4-8,1-2,7-14,3-6,6-9,,,,26-56,12-27,8-14,0,14,6,24,4,12,10,23
