id,name,team,conf,confName,pos,cls,eligibility,class_year_review_needed,class_year_review_note,heightIn,gp,mpg,ppg,rpg,apg,spg,bpg,tov,fg,tp,ft,ts,efg,usg,three_share,ast_tov,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,assist_creation,dreb_arch,dreb_source,bpm,porpag,adjoe,drtg,adrtg,dporpag,stops_per_40,has_season_row,has_pbp_row,orb_pct,drb_pct,ast_pct,to_pct,blk_pct,stl_pct,ft_rate,three_pa_per_100,ftm,fta,twopm,twopa,twop_pct,tpm,tpa,rimmade,rimatt,rim_pct,midmade,midatt,mid_pct,rim_attempted,mid_attempted,three_attempted,total_attempted,rim_pct_of_total_attempts,mid_pct_of_total_attempts,three_pct_of_total_attempts,pct_rim_made_assisted,pct_mid_made_assisted,pct_three_made_assisted,pct_assist_creation,pct_three_pct,pct_three_rate,pct_ast_tov,pct_efg,pct_dreb,pct_dreb_pos_adj,pct_size,stretch_big_height_gate,meets_high_assist,meets_efg_500,meets_3p_300,meets_high_ast_tov,meets_positive_ast_tov,meets_dreb_profile,meets_pg_preferred,meets_wing_preferred,meets_big_preferred,score_pg_combo,score_wing_2_4,score_stretch_big,primary_score_col,primary_score,primary_archetype,transfer_available,transfer_status,transfer_from,transfer_to,arch_pca_PC1,arch_pca_PC2,arch_pca_PC3,arch_pca_PC4,arch_pca_PC5,arch_pca_PC6,arch_pca_PC7,arch_pca_PC8,arch_pca_PC9,arch_pca_PC10
68990,Natalia Chavez,Abilene Christian,WAC,WAC,G/F,SR,4,False,,71.0,32.0,20.8629,8.2,2.6857,0.9429,0.8857,0.1714,0.9429,0.4008438818565401,0.362,0.846,0.5191,0.508,0.182,0.5949367088607594,1.0,15.721687780701627,5.149236203979313,1.8078023668809227,1.6981340082155407,0.32862162019661695,1.8078023668809227,9.8,10.9,DRB_%,1.02873,1.87485,101.768,90.9602,92.7162,1.86885,7.512078857685173,True,True,0.040999999999999995,0.109,0.098,0.13699999999999998,0.7,0.021,5.5,12.1152,11.0,13.0,44.0,96.0,0.458,51.0,141.0,33.0,56.0,0.5893,11.0,40.0,0.275,56.0,40.0,141.0,237.0,0.2362869198312236,0.1687763713080168,0.5949367088607594,0.4545454545454545,0.0909090909090909,0.9607843137254902,46.125933831376734,85.80576307363927,82.49733191035219,70.84311632870865,80.32017075773746,45.880469583778016,29.37853107344633,53.11632870864461,60.0,False,True,True,True,False,False,False,False,False,67.88046958377801,62.702566792684905,58.7127055333466,score_pg_combo,67.88046958377801,PG / Combo Guard,False,,,,-0.6100985807256234,0.043087115667393275,1.4011896659097058,0.010368377004287577,-0.6302440994068207,-0.6629630981482295,0.5313525841015043,0.17235927754664054,0.12160526290551865,0.08616088489095579
68690,Payton Hull,Abilene Christian,WAC,WAC,G,JR,3,False,,70.0,32.0,33.24,18.2571,4.0571,3.0571,2.6571,0.3143,3.4000000333649543,0.4059196617336152,0.305,0.801,0.5336,0.484,0.285,0.5137420718816068,0.89914705,21.970036101083032,4.882190132370638,3.6788206979542717,3.197472924187725,0.37821901323706375,4.091456117166009,20.3,12.0,DRB_%,4.37994,4.02075,110.236,85.6105,87.2633,3.65489,9.348864320096268,True,True,0.028999999999999998,0.12,0.203,0.213,1.0,0.044000000000000004,29.8,12.9545,113.0,141.0,118.0,230.0,0.513,74.0,243.0,104.0,193.0,0.5389,14.0,37.0,0.3784,193.0,37.0,243.0,473.0,0.4080338266384778,0.0782241014799154,0.5137420718816068,0.1923076923076923,0.0714285714285714,0.7972972972972973,88.20704375667022,67.1718249733191,74.64247598719317,63.99146211312699,69.6051227321238,53.681963713980785,85.56818181818183,43.23372465314835,60.0,True,False,True,False,False,False,False,False,False,75.26200640341514,71.31399776850684,67.50876831279713,score_pg_combo,75.26200640341514,PG / Combo Guard,False,,,,0.2229145406204537,-2.9421764684686513,0.6658678551908186,-0.6518428789203339,-0.5192847979255875,-0.6448750352944432,0.7579161690718188,0.20596131782128144,-0.21724070583570293,0.6752025394540943
81203,Riley Grohman,Abilene Christian,WAC,WAC,G,FR,1,False,,70.0,32.0,10.9914,2.4571,1.0286,0.6286,0.4571,0.0286,0.5429000228534482,0.35526315789473684,0.319,1.0,0.4656,0.45399999999999996,0.131,0.618421052631579,1.15785591,8.941900030933274,3.7432902087086264,2.2876066743090053,1.6634823589351675,0.10408137270957293,1.9757265602323568,9.3,7.6,DRB_%,-1.88892,0.19543,81.5587,91.8444,93.6175,0.896731,6.822038138908601,True,True,0.03,0.076,0.09300000000000001,0.21,0.0,0.024,3.9,8.10751,3.0,3.0,12.0,29.0,0.414,15.0,47.0,11.0,24.0,0.4583,1.0,5.0,0.2,24.0,5.0,47.0,76.0,0.3157894736842105,0.0657894736842105,0.618421052631579,0.2727272727272727,1.0,1.0,43.12700106723586,72.36926360725721,84.52508004268944,79.57310565635005,57.66275346851655,20.992529348986125,38.72159090909091,43.23372465314835,60.0,False,False,True,True,True,False,False,False,False,63.92796157950907,62.87314749684681,57.53483372950422,score_pg_combo,63.92796157950907,PG / Combo Guard,False,,,,-1.8058003705999368,0.7381536779470463,0.5518820212761357,0.41270943714592195,-0.26955284812678204,-0.5380265259181831,0.4323597015780214,-0.14848426710272444,0.36848139007724745,-0.09060693243177376
81647,AJ Mannering,Air Force,MWC,MWC,G,FR,1,False,,68.0,9.0,2.67,0.3,0.6,0.4,0.0,0.0,0.30000000750000017,0.3333333333333333,0.333,0.0,0.5,0.5,0.133,1.0,1.3333333,4.49438202247191,8.98876404494382,5.992509363295881,0.0,0.0,4.494382134831463,32.5,16.3,DRB_%,-2.48038,0.123281,89.1464,99.506,100.299,0.170483,6.001265085310029,True,True,0.122,0.163,0.325,0.36,0.0,0.0,0.0,7.24166,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,98.69797225186765,77.10779082177162,99.30629669156885,85.96584845250801,76.68089647812167,78.01494130202775,97.8409090909091,23.009605122732125,60.0,True,True,True,True,True,True,True,True,False,97.72305229455709,91.6863175511788,74.01876152129621,score_pg_combo,97.72305229455709,PG / Combo Guard,False,,,,-2.7582496168837127,-0.28971382419773334,0.02593376400847962,1.1594798479440016,-1.2223486826336925,0.46713465453215314,-1.8132316377154534,-0.12217735407267856,2.2646806178805616,0.9339583334365602
69543,Alexis Cortez,Air Force,MWC,MWC,G/F,JR,3,False,,71.0,29.0,29.9931,5.1379,3.069,1.1724,1.0,0.3103,0.7585999965887589,0.31976744186046513,0.25,0.808,0.4061,0.37200000000000005,0.115,0.4186046511627907,1.54547852,6.852109318476584,4.092941376516599,1.5635596187123042,1.33364007054956,0.41382851389152847,1.0116993529695284,8.2,9.9,DRB_%,-1.25028,0.123874,77.3964,96.4933,96.4286,2.25627,6.770844650591475,True,True,0.028999999999999998,0.099,0.08199999999999999,0.13,0.012,0.02,15.1,4.91114,21.0,26.0,37.0,100.0,0.37,18.0,72.0,22.0,40.0,0.55,15.0,60.0,0.25,40.0,60.0,72.0,172.0,0.2325581395348837,0.3488372093023256,0.4186046511627907,0.3636363636363636,0.3333333333333333,1.0,35.77374599786553,48.01494130202775,63.28708644610459,91.33404482390608,25.464247598719318,38.036286019210245,22.01035781544256,53.11632870864461,60.0,False,False,False,True,True,False,False,False,False,52.430096051227316,50.27599955381099,48.11164523150577,score_pg_combo,52.430096051227316,PG / Combo Guard,False,,,,-1.3336516201453483,1.5552770856358509,0.33221630232592525,1.158812286205783,0.16638093170206938,-0.48678975188450013,0.10475205568192725,0.22812794445379572,-0.32848600465227024,-0.3708433965383105
81644,Bhret Clay,Air Force,MWC,MWC,G/F,FR,1,False,,67.0,33.0,25.85,5.0588,3.0882,0.6471,1.0,0.2059,0.9412000572719725,0.32934131736526945,0.349,0.75,0.4597,0.44299999999999995,0.11800000000000001,0.6526946107784432,0.68752652,7.827930367504835,4.778646034816247,1.0013152804642165,1.5473887814313345,0.31860735009671176,1.4564024097051798,5.2,11.4,DRB_%,-1.23137,0.174806,78.1738,95.5996,96.2441,1.94565,6.988335970927846,True,True,0.036000000000000004,0.114,0.052000000000000005,0.19,1.0,0.022000000000000002,9.6,7.63878,12.0,16.0,17.0,58.0,0.293,38.0,109.0,11.0,33.0,0.3333,6.0,25.0,0.24,33.0,25.0,109.0,167.0,0.1976047904191616,0.1497005988023952,0.6526946107784432,0.3636363636363636,0.1666666666666666,0.9736842105263158,18.762006403415153,82.4119530416222,87.32123799359658,47.32123799359658,52.902881536819635,49.55176093916756,33.356873822975516,14.610458911419425,60.0,False,False,True,False,False,False,False,False,False,50.90181430096051,56.633529596198954,47.97237698147109,score_wing_2_4,56.633529596198954,2-4 Wing,False,,,,-1.6093993519149086,1.4490931288331357,0.5637224071864625,-0.18184896454983898,-0.025627496219418438,-0.4055907390801588,0.7298399951915151,0.38687280686922954,0.4959929243968626,0.30684868021585204
68312,Emily Adams,Air Force,MWC,MWC,G/F,SR,4,False,,72.0,34.0,25.4629,9.2286,5.2286,1.0857,0.9714,0.2571,2.2285999597181125,0.42333333333333334,0.625,0.721,0.47509999999999997,0.43200000000000005,0.237,0.02666666666666667,0.48716684,14.497327484300689,8.213675582906896,1.7055402173358103,1.5259848642534826,0.403881725962086,3.5009365935822117,10.7,17.3,DRB_%,-2.94918,1.48883,92.8867,93.4944,94.0984,2.15065,7.803510205043417,True,True,0.07200000000000001,0.17300000000000001,0.107,0.217,0.012,0.023,28.7,0.540591,62.0,86.0,122.0,292.0,0.418,5.0,8.0,95.0,189.0,0.5026,27.0,103.0,0.2621,189.0,103.0,8.0,300.0,0.63,0.3433333333333333,0.0266666666666666,0.6631578947368421,0.7037037037037037,1.0,51.89967982924226,98.69797225186765,17.972251867662752,28.388473852721454,47.66275346851654,81.89967982924227,78.38983050847457,63.607257203842046,60.0,False,False,True,False,False,True,False,False,False,51.04429028815368,62.40488938733426,64.69304306929797,score_stretch_big,64.69304306929797,Stretch Big,False,,,,1.4835929573891233,-0.5277999254562276,-0.17660444501072647,-0.6385883070963125,-0.1227023121366498,-0.12826563083237127,-0.13135205199062974,0.6232786365148052,0.05900147272190061,-0.820403444866026
81648,Eva Love,Air Force,MWC,MWC,G/F,FR,1,False,,69.0,11.0,9.0273,2.2727,1.1818,0.0909,0.6364,0.0,0.45449999999999996,0.36,0.308,0.5,0.4522,0.44,0.157,0.52,0.2,10.07034218426329,5.236560211801978,0.4027782393406666,2.8198907757579783,0.0,2.013891196703333,2.2,13.5,DRB_%,-3.79376,0.0835548,78.8988,90.8724,91.2748,0.833979,8.510346897239987,True,True,0.03,0.135,0.022000000000000002,0.19,0.0,0.042,24.0,7.73766,3.0,6.0,5.0,12.0,0.417,4.0,13.0,4.0,6.0,0.6667,1.0,6.0,0.1667,6.0,6.0,13.0,25.0,0.24,0.24,0.52,0.0,0.0,1.0,8.836712913553896,68.37780149413021,75.31483457844183,9.455709711846318,51.46211312700106,63.06296691568837,50.98870056497176,32.68943436499466,60.0,False,False,True,False,False,False,False,False,False,35.10298826040555,52.14132735198886,49.38732521751714,score_wing_2_4,52.14132735198886,2-4 Wing,False,,,,-0.5295037559174098,0.7794723370767496,0.058087201123244704,-0.906559622835914,0.2862425505349985,-0.43036785405071953,1.67408950716873,0.8406112147953426,0.5650735598485206,0.33774924918159915
69537,Jayda McNabb,Air Force,MWC,MWC,G/F,JR,3,False,,70.0,34.0,31.4686,7.9429,7.3429,2.7714,2.0,0.8,1.628600016840737,0.42035398230088494,0.292,0.659,0.5043,0.462,0.168,0.28634361233480177,1.70170697,10.096286456976161,9.333621451224396,3.5227496615674037,2.5422166858392177,1.016886674335687,2.0701270686852764,18.8,14.4,DRB_%,6.88717,2.60909,100.289,90.4771,91.0616,2.93961,8.59452428957194,True,True,0.12300000000000001,0.14400000000000002,0.188,0.18899999999999997,0.03,0.036000000000000004,38.9,3.62083,58.0,88.0,76.0,161.0,0.472,19.0,65.0,71.0,141.0,0.5035,5.0,20.0,0.25,141.0,20.0,65.0,227.0,0.6211453744493393,0.0881057268722467,0.2863436123348017,0.5352112676056338,0.8,0.8947368421052632,84.6958377801494,61.65421558164355,45.250800426894344,93.7033084311633,60.80042689434365,68.15368196371398,58.121468926553675,43.23372465314835,60.0,True,False,False,True,True,False,False,False,False,73.58271077908218,60.27902338874519,56.73366586473237,score_pg_combo,73.58271077908218,PG / Combo Guard,False,,,,-0.366800942078179,-0.6219081469120895,0.0029951848825809017,1.7613133643824908,0.48663429819057,0.2181952948282006,0.4424547758378806,0.24429330246970066,-0.5656673797741391,0.03659920824296233
69535,Jordyn DeVaughn,Air Force,MWC,MWC,G,JR,3,False,,66.0,29.0,18.5267,5.2,1.8,1.5333,0.6,0.0333,1.666699965157242,0.2903225806451613,0.256,0.769,0.40659999999999996,0.355,0.21,0.5032258064516129,0.91996162,11.22703989377493,3.8862830401528603,3.3104654363702113,1.2954276800509532,0.07189623624282791,3.598482115341085,19.0,8.5,DRB_%,-5.50045,0.281141,80.7078,98.0407,98.7815,1.21144,6.131802693707851,True,True,0.035,0.085,0.19,0.242,0.2,0.017,25.2,8.82577,30.0,39.0,25.0,77.0,0.325,20.0,78.0,6.0,21.0,0.2857,19.0,56.0,0.3393,21.0,56.0,78.0,155.0,0.1354838709677419,0.3612903225806451,0.5032258064516129,0.1666666666666666,0.1052631578947368,0.65,85.11205976520812,50.08537886872999,73.5752401280683,65.31483457844183,21.323372465314836,27.52401280683031,50.596590909090914,8.32443970117396,60.0,True,False,False,False,False,False,False,False,False,66.03788687299893,53.04503917240711,44.84493244882119,score_pg_combo,66.03788687299893,PG / Combo Guard,False,,,,-1.5026025612653526,-0.7741376614359547,-0.15236194721722351,-0.776397236138073,-0.035478934055920515,-0.26476447643771833,-0.6138171417789899,0.0822537472360958,-0.08285249850303733,0.176761825693978
