game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-01-16_uc_riverside_uc_santa_barbara,UC Riverside,8-11,1-1,1-2,8-13,1-2,4-4,3-7,2-3,1-1,5-8,1-3,3-7,,,,,,,24-39,5-9,9-14,0,0,4,26,7,2,23,13
2025-01-18_uc_davis_uc_santa_barbara,UC Santa Barbara,4-15,2-7,0-0,9-17,2-4,2-2,6-16,3-9,0-0,5-12,3-6,3-4,,,,,,,24-60,10-26,5-6,0,9,1,22,3,1,12,28
2025-01-18_uc_davis_uc_santa_barbara,UC Davis,6-11,3-6,1-3,0-14,0-5,3-4,5-10,1-5,9-12,5-11,1-3,0-0,,,,,,,16-46,5-19,13-19,0,6,1,22,4,1,20,15
2025-01-18_csu_bakersfield_hawaii,Hawaii,6-13,1-4,1-2,9-16,4-8,1-2,5-13,1-5,3-4,5-12,1-2,4-7,,,,,,,25-54,7-19,9-15,0,10,0,36,0,0,6,34
2025-01-18_csu_bakersfield_hawaii,CSU Bakersfield,4-16,1-5,1-1,1-10,1-3,2-4,4-12,0-4,3-3,5-14,0-3,1-2,,,,,,,14-52,2-15,7-10,0,4,0,16,5,0,10,23
2025-01-18_cal_poly_uc_irvine,UC Irvine,6-14,1-7,4-5,3-15,0-5,0-0,6-15,1-1,1-2,8-14,3-7,3-5,,,,,,,23-58,5-20,8-12,0,12,6,30,11,14,17,15
2025-01-18_cal_poly_uc_irvine,Cal Poly,7-13,1-4,2-2,2-12,1-3,3-4,5-11,2-5,1-2,8-16,3-7,0-0,,,,,,,22-52,7-19,6-8,1,1,6,22,9,14,3,7
2025-01-18_uc_san_diego_uc_riverside,UC Riverside,5-15,2-6,2-2,6-14,2-8,5-5,2-13,1-5,4-4,6-13,1-3,3-6,,,,,,,19-55,6-22,14-17,0,16,1,22,14,3,14,27
2025-01-18_uc_san_diego_uc_riverside,UC San Diego,8-15,4-5,0-0,11-15,3-5,0-0,4-11,0-3,3-4,1-9,0-3,1-2,,,,,,,24-50,7-16,4-6,0,0,1,30,12,3,26,13
2025-01-18_cal_st_fullerton_long_beach_st,Long Beach St.,8-15,1-6,3-4,7-16,2-3,1-2,7-14,2-3,0-0,5-15,0-2,9-12,,,,,,,27-60,5-14,13-18,0,10,0,38,16,4,16,12
2025-01-18_cal_st_fullerton_long_beach_st,Cal St. Fullerton,6-22,1-5,5-6,3-16,0-5,2-3,5-14,1-6,10-11,5-12,0-1,3-4,,,,,,,19-64,2-17,20-24,0,0,0,22,12,4,18,23
2025-01-23_hawaii_uc_davis,UC Davis,3-9,0-2,2-4,6-16,0-5,1-2,3-14,1-9,6-6,6-16,0-5,0-1,,,,,,,18-55,1-21,9-13,0,6,3,28,6,2,8,22
2025-01-23_hawaii_uc_davis,Hawaii,5-13,1-4,0-0,4-11,2-3,5-6,6-14,2-7,2-3,3-14,1-3,7-9,,,,,,,18-52,6-17,14-18,0,4,3,14,8,2,12,21
2025-01-23_uc_irvine_uc_riverside,UC Riverside,3-12,2-6,2-2,4-13,2-4,2-2,5-13,1-4,1-2,6-13,1-5,6-9,,,,,,,18-51,6-19,11-15,0,1,0,16,6,0,14,17
2025-01-23_uc_irvine_uc_riverside,UC Irvine,6-14,1-2,2-2,7-12,3-5,0-0,5-16,2-8,0-0,2-9,0-1,8-12,,,,,,,20-51,6-16,10-14,0,13,0,24,8,0,8,15
2025-01-23_uc_santa_barbara_uc_san_diego,UC San Diego,7-15,2-3,1-2,3-13,1-5,0-0,2-16,0-2,6-8,7-14,3-6,11-14,,,,,,,19-58,6-16,18-24,1,6,5,26,8,4,10,13
2025-01-23_uc_santa_barbara_uc_san_diego,UC Santa Barbara,4-13,3-11,0-0,3-13,0-5,2-4,5-14,2-7,3-3,3-13,1-5,2-2,,,,,,,15-53,6-28,7-9,0,4,5,12,4,4,2,13
2025-01-23_long_beach_st_csun,CSUN,7-15,3-6,2-2,10-18,3-8,3-3,9-19,3-11,1-3,3-17,1-10,1-2,,,,,,,29-69,10-35,7-10,1,18,3,36,2,4,12,18
